app_id,name,playtime_hours,last_played,achievements_total,achievements_unlocked,achievements_pct,avg_global_unlock_pct,rarity_floor,has_multiplayer_achievement,hltb_main_hours,hltb_completionist_hours,completionist_ratio,hltb_found
31220,Sam & Max 301: The Penal Zone,0.11666666666666667,1461427176,0,0,0.0,0.0,0.0,False,3.72,3.94,1.0591397849462365,True
31230,Sam & Max 302: The Tomb of Sammun-Mak,0.0,0,0,0,0.0,0.0,0.0,False,3.14,3.9,1.2420382165605095,True
31240,Sam & Max 303: They Stole Max's Brain!,0.0,0,0,0,0.0,0.0,0.0,False,3.07,3.38,1.1009771986970684,True
31250,Sam & Max 304: Beyond the Alley of the Dolls,0.0,0,0,0,0.0,0.0,0.0,False,2.54,3.05,1.200787401574803,True
31260,Sam & Max 305: The City that Dares not Sleep,0.0,0,0,0,0.0,0.0,0.0,False,2.63,2.82,1.0722433460076046,True
31270,Puzzle Agent,4.383333333333334,1594760700,0,0,0.0,0.0,0.0,False,3.41,4.1,1.2023460410557183,True
31280,Poker Night at the Inventory (2010 Original Version),0.0,0,20,0,0.0,58.935,17.4,False,3.3400000000000003,3.3400000000000003,1.0,False
31290,Back to the Future: Ep 1 - It's About Time,0.5,1475313670,0,0,0.0,0.0,0.0,False,2.61,3.12,1.1954022988505748,True
32360,The Secret of Monkey Island: Special Edition,0.26666666666666666,1467657762,0,0,0.0,0.0,0.0,False,6.66,7.63,1.1456456456456456,True
32460,Monkey Island 2: Special Edition,0.0,0,12,0,0.0,33.083333333333336,4.2,False,7.06,7.99,1.1317280453257792,True
33100,Alien Shooter,0.0,0,17,0,0.0,29.94705882352941,5.4,False,2.22,5.79,2.608108108108108,True
33120,Alien Shooter 2: Reloaded,0.0,0,0,0,0.0,0.0,0.0,False,5.17,7.04,1.3617021276595744,True
33130,Zombie Shooter,0.0,0,0,0,0.0,0.0,0.0,False,2.25,2.96,1.3155555555555556,True
33180,Zombie Shooter 2,0.0,0,0,0,0.0,0.0,0.0,False,4.04,6.99,1.7301980198019802,True
33220,Tom Clancy's Splinter Cell: Conviction,10.25,1533380242,0,0,0.0,0.0,0.0,False,7.32,18.23,2.490437158469945,True
33230,Assassin's Creed II,0.0,0,0,0,0.0,0.0,0.0,False,19.21,35.42,1.8438313378448725,True
34830,Sniper: Ghost Warrior,6.733333333333333,1488034919,24,14,0.5833333333333334,22.879166666666666,2.1,True,5.14,14.02,2.727626459143969,True
34870,Sniper Ghost Warrior 2,0.36666666666666664,1509789322,38,0,0.0,20.655263157894755,2.6,True,5.13,11.95,2.3294346978557505,True
35140,Batman: Arkham Asylum GOTY Edition,24.4,1602526288,47,36,0.7659574468085106,28.697872340425537,3.9,False,7.849,7.849,1.0,False
35420,Killing Floor Mod: Defence Alliance 2,0.0,0,30,0,0.0,6.410000000000003,6.4,False,5.010000000000001,5.010000000000001,1.0,False
35450,Rising Storm/Red Orchestra 2 Multiplayer,0.0,0,140,0,0.0,5.971428571428572,0.0,False,23.380000000000003,23.380000000000003,1.0,False
